c:\users\fury\desktop\2017006144\a1.vms
C 1s/7
	Characteristic Energy eV	1486.69	Acquisition Time s	0.3
KE_C 1s/7	BE_C 1s/7	CPS_C 1s/7	C 1s_1_C 1s/7	C 1s_2_C 1s/7	C 1s_3_C 1s/7	C 1s_4_C 1s/7	C 1s_5_C 1s/7	Background_C 1s/7	Envelope_C 1s/7
1195.99	290.696	2300	1019.71	1354.05	1019.71	2026.29	1020.03	1019.71	2360.97
1196.04	290.646	2440	1018.54	1417.5	1018.55	2013.61	1018.99	1018.54	2413.02
1196.09	290.596	2440	1017.38	1491.96	1017.39	1997.52	1017.98	1017.38	2472.7
1196.14	290.546	2513.33	1016.16	1576.64	1016.16	1978.15	1016.96	1016.16	2539.45
1196.19	290.496	2630	1014.84	1675.03	1014.85	1955.66	1015.91	1014.84	2616.94
1196.24	290.446	2863.33	1013.32	1785.66	1013.34	1930.21	1014.77	1013.32	2704
1196.29	290.396	2876.67	1011.8	1911.5	1011.82	1902.24	1013.7	1011.8	2803.87
1196.34	290.346	2913.33	1010.24	2052.35	1010.27	1872.03	1012.77	1010.24	2916.69
1196.39	290.296	3040	1008.58	2209.02	1008.62	1839.81	1011.89	1008.58	3043.6
1196.44	290.246	3240	1006.75	2382.71	1006.81	1805.81	1011.09	1006.75	3186.16
1196.49	290.196	3313.33	1004.87	2571.96	1004.94	1770.45	1010.49	1004.87	3343.24
1196.54	290.146	3610	1002.74	2779.15	1002.84	1733.86	1010.02	1002.74	3517.67
1196.59	290.096	3733.33	1000.5	3000.78	1000.64	1696.48	1009.86	1000.5	3706.26
1196.64	290.046	3870	998.152	3238.49	998.338	1658.59	1010.17	998.152	3911.13
1196.69	289.996	4156.67	995.568	3488.54	995.815	1620.32	1010.86	995.568	4128.83
1196.74	289.946	4360	992.814	3749.82	993.141	1582.01	1012.24	992.814	4358.76
1196.79	289.896	4656.67	989.816	4019.21	990.247	1543.81	1014.29	989.816	4598.11
1196.84	289.846	4860	986.649	4293.19	987.217	1506.03	1017.42	986.649	4843.91
1196.89	289.796	4853.33	983.485	4568.15	984.229	1469.02	1021.89	983.485	5092.83
1196.94	289.746	5366.67	979.898	4839.48	980.867	1432.51	1027.68	979.898	5340.85
1196.99	289.696	5463.33	976.23	5101.1	977.49	1396.98	1035.28	976.229	5582.17
1197.04	289.646	5800	972.282	5349.77	973.921	1362.35	1045	972.281	5814.19
1197.09	289.596	6103.33	968.084	5577.7	970.199	1328.73	1057.06	968.082	6029.44
1197.14	289.546	6300	963.721	5781.72	966.436	1296.29	1072.15	963.719	6225.44
1197.19	289.496	6500	959.191	5955.87	962.679	1265.06	1090.52	959.189	6396.57
1197.24	289.446	6403.33	954.736	6095.18	959.202	1235.33	1113.1	954.734	6538.61
1197.29	289.396	6696.67	950.038	6198.47	955.721	1206.8	1139.89	950.035	6650.77
1197.34	289.346	6576.67	945.435	6257.69	952.627	1179.8	1171.91	945.43	6725.74
1197.39	289.296	6716.67	940.714	6278.14	949.829	1154.1	1209.36	940.707	6769.31
1197.44	289.246	6770	935.946	6251.13	947.445	1129.76	1252.93	935.937	6773.46
1197.49	289.196	6840	931.117	6184.37	945.541	1106.73	1303.06	931.106	6746.4
1197.54	289.146	6793.33	926.323	6075.18	944.321	1085.07	1360.29	926.308	6685.95
1197.59	289.096	6763.33	921.55	5928.29	944.051	1064.71	1425.05	921.532	6597.52
1197.64	289.046	6546.67	916.952	5747.91	944.925	1045.75	1497.62	916.929	6485.44
1197.69	288.996	6350	912.513	5536.29	947.104	1028.11	1578.35	912.482	6352.44
1197.74	288.946	6230	908.171	5301.77	950.766	1011.69	1666.85	908.131	6206.72
1197.79	288.896	5920	904.081	5045.78	956.55	996.56	1763.4	904.03	6050.25
1197.84	288.846	5736.67	900.14	4777.09	964.427	982.567	1867.01	900.075	5890.93
1197.89	288.796	5743.33	896.195	4498.82	974.561	969.489	1977.22	896.111	5731.84
1197.94	288.746	5620	892.353	4216.91	987.569	957.37	2092.66	892.246	5577.88
1197.99	288.696	5426.67	888.671	3935.81	1004.23	946.206	2212.45	888.535	5433.23
1198.04	288.646	5096.67	885.264	3659.67	1024.81	936.049	2334.73	885.091	5300.16
1198.09	288.596	5096.67	881.864	3391.3	1049.55	926.571	2457.45	881.645	5180.16
1198.14	288.546	5143.33	878.434	3134.61	1079.4	917.679	2578.39	878.157	5075.89
1198.19	288.496	5013.33	875.123	2890.02	1115.43	909.465	2694.97	874.773	4985.92
1198.24	288.446	5036.67	871.807	2661.88	1157.77	901.767	2805.11	871.368	4912.87
1198.29	288.396	4823.33	868.685	2448.59	1207.38	894.718	2905.38	868.134	4852.22
1198.34	288.346	4916.67	865.51	2252.63	1265.73	888.02	2994.38	864.821	4806.99
1198.39	288.296	4740	862.51	2073.19	1333.95	881.851	3068.03	861.649	4772.93
1198.44	288.246	4866.67	859.443	1910.09	1412.16	875.927	3126.34	858.372	4750.47
1198.49	288.196	4936.67	856.364	1763.63	1501.43	870.257	3164.79	855.034	4736.34
1198.54	288.146	4716.67	853.52	1631.76	1604.66	865.046	3185.61	851.874	4733.09
1198.59	288.096	4593.33	850.845	1515.92	1722.16	860.185	3184.47	848.813	4738.34
1198.64	288.046	4776.67	848.102	1412.26	1854.17	855.397	3164.84	845.598	4752.37
1198.69	287.996	4633.33	845.576	1322.3	2002	850.924	3123.57	842.499	4774.38
1198.74	287.946	4716.67	843.099	1243.02	2169.09	846.557	3065.51	839.328	4809.96
1198.79	287.896	4763.33	840.727	1174.31	2354.55	842.306	2988.45	836.117	4855.88
1198.84	287.846	4863.33	838.443	1114.78	2558.74	838.109	2897.89	832.821	4916.67
1198.89	287.796	4863.33	836.361	1063.21	2782.43	834.031	2793.24	829.523	4991.18
1198.94	287.746	5220	834.227	1019.05	3029.3	829.766	2679.16	825.93	5087.79
1198.99	287.696	5210	832.384	980.686	3296.56	825.599	2556.8	822.343	5202.66
1199.04	287.646	5460	830.687	948.288	3583.91	821.306	2429.74	818.547	5339.73
1199.09	287.596	5563.33	829.304	920.116	3891.55	816.997	2299.89	814.665	5499.2
1199.14	287.546	5770	828.218	896.114	4220.86	812.577	2169.69	810.61	5685.02
1199.19	287.496	5903.33	827.566	875.356	4567.7	808.098	2041.37	806.442	5894.32
1199.24	287.446	6116.67	827.374	857.379	4930.3	803.487	1916.16	802.096	6126.32
1199.29	287.396	6460	827.636	841.659	5306.9	798.632	1796.05	797.466	6381.01
1199.34	287.346	6820	828.455	827.604	5695.04	793.513	1681.34	792.538	6655.79
1199.39	287.296	6976.67	830.127	815.286	6089.93	788.291	1573.89	787.477	6947.62
1199.44	287.246	7140	832.795	804.125	6487.79	782.957	1473.35	782.279	7251.9
1199.49	287.196	7406.67	836.539	794.029	6883.84	777.421	1380.83	776.858	7565.22
1199.54	287.146	7546.67	841.649	784.7	7272.36	771.785	1295.65	771.318	7880.87
1199.59	287.096	8296.67	847.829	775.562	7648.01	765.546	1218.02	765.159	8194.33
1199.64	287.046	8650	855.635	766.752	8005.88	759.027	1147.31	758.707	8499.78
1199.69	286.996	8710	865.557	758.384	8338.11	752.464	1084.03	752.2	8789.74
1199.74	286.946	9060	877.637	750.148	8638.65	745.619	1026.98	745.402	9057.42
